ID,Item_Name,Category,Location,Exported_To,sta_la,sta_lon,end_la,end_lon
8636,Washing Machine,Appliance,London,China,52.727977,-1.882169,35.86166,104.195397
2686,Air Conditioner,Appliance,London,Germany,52.727977,-1.882169,51.165691,10.451526
1491,Headphone,Electronics,Shanghai,China,31.230416,121.473701,35.86166,104.195397
2032,Headphone,Electronics,Dhaka,Germany,23.804093,90.415238,51.165691,10.451526
5617,Refrigerator,Appliance,Shanghai,USA,31.230416,121.473701,38.794595,-106.534838
6766,Microwave,Appliance,Dhaka,USA,23.804093,90.415238,38.794595,-106.534838
5630,Washing Machine,Appliance,Shanghai,Brazil,31.230416,121.473701,-14.235004,-51.92528
2587,Smartphone,Mobile,London,USA,52.727977,-1.882169,38.794595,-106.534838
2968,Smartphone,Mobile,Dhaka,USA,23.804093,90.415238,38.794595,-106.534838
8150,Headphone,Electronics,New York,Brazil,40.712775,-74.005973,-14.235004,-51.92528
2601,Washing Machine,Appliance,London,India,52.727977,-1.882169,20.593684,78.96288
9906,Microwave,Appliance,Dhaka,China,23.804093,90.415238,35.86166,104.195397
9376,Refrigerator,Appliance,New York,USA,40.712775,-74.005973,38.794595,-106.534838
4107,Smartphone,Mobile,Shanghai,India,31.230416,121.473701,20.593684,78.96288
9348,Smartphone,Mobile,Mumbai,China,19.075984,72.877656,35.86166,104.195397
8388,Air Conditioner,Appliance,London,USA,52.727977,-1.882169,38.794595,-106.534838
9123,Refrigerator,Appliance,New York,Brazil,40.712775,-74.005973,-14.235004,-51.92528
8598,Smartphone,Mobile,Mumbai,Brazil,19.075984,72.877656,-14.235004,-51.92528
9318,Microwave,Appliance,Mumbai,Brazil,19.075984,72.877656,-14.235004,-51.92528
4180,Laptop,Computers,Dhaka,Brazil,23.804093,90.415238,-14.235004,-51.92528
2441,Laptop,Computers,Mumbai,China,19.075984,72.877656,35.86166,104.195397
2626,Laptop,Computers,Berlin,Brazil,52.520007,13.404954,-14.235004,-51.92528
4401,Smartphone,Mobile,Mumbai,USA,19.075984,72.877656,38.794595,-106.534838
1033,Washing Machine,Appliance,Berlin,Brazil,52.520007,13.404954,-14.235004,-51.92528
8631,Headphone,Electronics,London,India,52.727977,-1.882169,20.593684,78.96288
3577,Headphone,Electronics,Mumbai,China,19.075984,72.877656,35.86166,104.195397
3014,Smartphone,Mobile,Mumbai,Brazil,19.075984,72.877656,-14.235004,-51.92528
5829,Headphone,Electronics,Mumbai,USA,19.075984,72.877656,38.794595,-106.534838
957,Headphone,Electronics,New York,Germany,40.712775,-74.005973,51.165691,10.451526
7785,Smartphone,Mobile,Berlin,Germany,52.520007,13.404954,51.165691,10.451526
8475,Headphone,Electronics,London,Brazil,52.727977,-1.882169,-14.235004,-51.92528
626,Washing Machine,Appliance,New York,USA,40.712775,-74.005973,38.794595,-106.534838
2722,Air Conditioner,Appliance,Mumbai,China,19.075984,72.877656,35.86166,104.195397
5049,Refrigerator,Appliance,Mumbai,India,19.075984,72.877656,20.593684,78.96288
1261,Air Conditioner,Appliance,New York,China,40.712775,-74.005973,35.86166,104.195397
